Top Gun,,4.1
Pacific Rim,Pacific Rim,4.1
Tremors,Tremors,4.1
The Mechanic,The Mechanic,4.0
Minions,Despicable Me,4.0
Pacific Rim Uprising,Pacific Rim,4.0
Tremors: Aftershocks,Tremors,3.9
Batman: The Killing Joke,,3.8
Batman vs TMNT,,3.8
Minions 2: The Rise of Gru,Despicable Me,3.8
The Fast and the Furious,F&F,3.7
John Wick III,John Wick,3.7
My Hero Academia: Heroes Rising,MHA,3.6
xXx: the return of Xander Cage,xXx,3.6
Tremors: Bloodlines,Tremors,3.6
I Know What You Did Last Summer,Last Summer,3.6
Escape Plan: The Extractors,Escape Plan,3.5
Resident Evil 6: The Final Chapter,RE,3.5
Resident Evil: Welcome to Raccoon City,RE,3.5
Tremors: A Cold Day In Hell,Tremors,3.5
Tremors: Shrieker Island,Tremors,3.5
Newsies,,3.4
John Wick II,John Wick,3.4
xXx: State of the Union,xXx,3.4
My Hero Academia: World Heroes Mission,MHA,3.4
Batman and Harley Quinn,,3.3
Constantine: The House of Mystery,,3.3
Despicable Me 1,Despicable Me,3.3
Fall,,3.3
I Still Know What You Did Last Summer,Last Summer,3.3
Muppets Treasure Island,Muppets,3.2
Thor: Love and Thunder,Marvel,3.2
The Lego Ninjago Movie,,3.1
Batman Gotham Knight,,3.1
Resident Evil 5: Retribution,RE,3.1
Speed,Speed,3.1
Superman I,Superman,3.0
Superman II,Superman,3.0
Superman III,Superman,3.0
Superman IV,Superman,3.0
Batman Returns,Batman,3.0
Batman,Batman,3.0
Batman Forever,Batman,3.0
Batman & Robin,Batman,3.0
The Living Daylights,Bond,3.0
License to Kill,Bond,3.0
Goldeneye,Bond,3.0
Tomorrow Never Dies,Bond,3.0
The World is Not Enough,Bond,3.0
Die Another Day,Bond,3.0
Casino Royale,Bond,3.0
Quantum of Solace,Bond,3.0
Skyfall,Bond,3.0
Spectre,Bond,3.0
No Time To Die,Bond,3.0
Despicable Me 3,Despicable Me,3.0
The Bee Movie,,3.0
I'll Always Know What You Did Last Summer,Last Summer,3.0
Poker Face,,3.0
Despicable Me 2,Despicable Me,2.9
Morbius,,2.8
Catwoman: Hunted,,2.8
Point Break (old),,2.6
Dr. No,Bond,2.0
From Russia With Love,Bond,2.0
Goldfinger,Bond,2.0
Thunderball,Bond,2.0
You only Live Twice,Bond,2.0
On Her Majesty's Secret Service,Bond,2.0
Diamonds Are Forever,Bond,2.0
Live and Let Die,Bond,2.0
The Man With the Golden Gun,Bond,2.0
The Spy Who Loved Me,Bond,2.0
Moonraker,Bond,2.0
For Your Eyes Only,Bond,2.0
Octopussy,Bond,2.0
A View to a Kill,Bond,2.0
Batman Return of the Caped Crusaders,,-1.0
